"Part no","Invoice qty"
"30262","10"
"30499","6"
"35498","40"
"40496","4"
"46003","50"
"46013","15"
"46075","15"
"46110","1"
"70239","5"
"70244","4"
"70266","20"
"70273","6"
"70274","8"
"70360","6"
"70465","4"
"80706","4"
"80710","2"
"80775","8"
"400003","5"
"400007","3"
"3162001","3"
"3162007","2"
"3162010","2"
"3162014","3"
"3162015","2"
"3327302","8"
"81002","4"
"81020","2"
"81052","1"
"1144580","2"
"1147494","1"
"1531000","1"
"46112","1"
"5387201","1"
"1630008","1"
"17119","1"
"80681","4"
"80683","3"
"20234","1"
"20260","4"
"20404","3"
"20462","4"
"80690","3"
"80278","20"
"80604","8"
"80605","40"
"80629","10"
"80638","12"
"80659","2"
"80680","4"
"10231","1"
"1745000","100"
"5387236","6"
"3160014","2"
"3737637","2"
"3838530","3"
"3917438","1"
"5000025","20"
"5380036","1"
"5671510","4"
"1170198","1"
"80793","1"
"80833","10"
"80834","1"
"80842","8"
"1536200","1"
"1630008","2"
"1630050","5"
"2260020","9"
"2480003","2"
"3160001","6"
"80259","36"
"1300055","1"
"3733163","1"
"3913780","1"
"5671516","2"
"20248","1"
"30228","2"
"400000","1"
"3915065","1"
"70244","3"
"70266","5"
"5387236","6"
"400009","3"
"20234","2"
"35498","12"
"17410","1"
"42443","5"
"430402","1"
"943043","2"
"943046","2"
"70469","1"
"70497","1"
"80629","5"
"80638","5"
"80706","3"
"80775","1"
"80833","4"
"80834","1"
"80842","10"
"817604","1"
"1148429","1"
"1170100","1"
"1530020","3"
"1950225","1"
"2260020","4"
"2488601","3"
"3160006","3"
"3320001","2"
"3327302","10"
"3733163","2"
"3917308","1"
"5380036","1"
"400000","15"
"400001","6"
"400003","3"
"400008","1"
"81045","1"
"10237","1"
"81060","1"
"5030030","1"
"20260","4"
"20400","1"
"35498","3"
"46003","3"
"46075","2"
"46076","2"
"46110","1"
"50262","2"
"50281","1"
"70244","1"
"70266","2"
"70497","2"
"80629","5"
"80675","1"
"80706","1"
"3162014","2"
"3733163","2"
"3838500","2"
"3917308","2"
"3917960","1"
"80793","2"
"80832","2"
"80834","2"
"80842","5"
"80885","2"
"81045","2"
"81060","1"
"1630008","3"
"1630014","3"
"80712","1"
"80775","8"
"80832","1"
"81040","1"
"942552","2"
"30499","2"
"46003","5"
"1745000","4"
"2260020","2"
"2488600","1"
"3160009","1"
"46075","8"
"46076","2"
"70239","2"
"70244","2"
"70265","2"
"943051","4"
"943050","4"
"817508","1"
"30499","5"
"817480","1"
"5387438","1"
"80713","6"
"80735","1"
"80834","2"
"80842","3"
"81002","1"
"81050","3"
"81120","2"
"1300055","1"
"1530020","1"
"1630050","2"
"1630103","1"
"80706","1"
"80710","1"
"80711","1"
"1630114","1"
"2483875","6"
"2488600","2"
"3327302","4"
"3733163","1"
"3737637","1"
"3737834","2"
"3737919","1"
"3913180","1"
"5000025","4"
"400000","14"
"400001","10"
"400002","5"
"400008","2"
"42443","3"
"42541","2"
"942548","4"
"943041","2"
"9530452","2"
"20234","1"
"20260","2"
"5380434","1"
"20340","1"
"30228","1"
"46003","10"
"46013","5"
"46075","4"
"70244","1"
"70265","1"
"70266","3"
"70460","1"
"80259","24"
"80278","10"
"80629","5"
"80638","6"
"80690","1"
"3738615","1"
"81052","1"
"3910204","2"
"817659","1"
"81098","1"
"814120","1"
"942442","4"
"17116","1"
"42543","4"
"430402","4"
"42443","3"
"1536200","1"
"30499","3"
"70239","6"
"80833","3"
"3916790","1"
"5387436","5"
"3915065","1"
"5030030","1"
"20228","2"
"17382","1"
"5387236","5"
"817413","1"
"842554","2"
"817492","1"
"817479","1"
"5010016","1"
"42441","2"
"42443","10"
"43041","4"
"430402","2"
"942042","2"
"942548","6"
"942551","6"
"943046","6"
"2230130","2"
"1630114","1"
"1630103","2"
"2483875","1"
"2488600","2"
"3160009","1"
"3320001","2"
"3733162","2"
"3733163","2"
"3734529","1"
"3737437","1"
"3737834","3"
"3738616","2"
"3838500","1"
"3917438","1"
"5000025","5"
"400000","15"
"400001","10"
"400003","5"
"660128","100"
"40497","2"
"10231","2"
"20228","1"
"20462","4"
"30262","4"
"30498","1"
"40496","1"
"30499","3"
"46075","6"
"46076","2"
"46112","2"
"70239","4"
"70244","1"
"70264","1"
"70265","1"
"70274","3"
"70360","1"
"70469","3"
"80212","3"
"80259","48"
"80278","10"
"80286","48"
"80605","5"
"80609","2"
"80659","5"
"80669","2"
"80776","1"
"80833","3"
"80834","3"
"80840","1"
"81002","1"
"817455","-1"
"81045","1"
"81060","2"
"1144580","4"
"1147336","1"
"1530020","1"
"1630003","2"
"2480003","1"
"5010016","5"
"817248","1"
"942545","1"
"942548","8"
"12518409","1"
"943050","1"
"35498","18"
"5380405","1"
"5008555","2"
"400000","5"
"400001","5"
"400008","1"
"400009","1"
"80793","3"
"80701","1"
"10230","2"
"20260","2"
"20400","2"
"20404","3"
"30262","5"
"35498","10"
"40496","2"
"45052","1"
"46003","20"
"46013","10"
"46076","3"
"46110","1"
"46112","2"
"70264","4"
"70265","3"
"70266","20"
"70268","3"
"70273","2"
"70360","1"
"70469","2"
"70497","3"
"80259","24"
"80278","10"
"80605","10"
"80609","2"
"80629","4"
"80659","3"
